Episode,Total Reward,Average Delay (seconds),Average Queue Length,Epsilon,Loss
1,-7946.41,39.48,9.34,0.95,0.0428
2,-7877.47,39.03,9.46,0.902,0.0096
3,-7602.11,37.58,9.3,0.857,0.0125
4,-7626.81,37.96,8.83,0.815,0.0046
5,-7446.69,37.01,8.72,0.774,0.0061
6,-7379.09,36.53,8.94,0.735,0.007
7,-7365.44,36.55,8.73,0.698,0.0022
8,-7126.1,35.37,8.44,0.663,0.0029
9,-6955.99,34.4,8.49,0.63,0.0034
10,-7093.28,35.27,8.27,0.599,0.0021
11,-6846.32,33.85,8.37,0.569,0.0024
12,-6800.73,33.64,8.28,0.54,0.0015
13,-6845.31,34.01,8.04,0.513,0.0014
14,-6618.58,32.77,8.01,0.488,0.0022
15,-6661.46,33.08,7.86,0.463,0.0025
16,-6611.36,32.82,7.82,0.44,0.0017
17,-6492.89,32.18,7.78,0.418,0.0009
18,-6381.12,31.53,7.84,0.397,0.0021
19,-6422.39,31.92,7.52,0.377,0.0018
20,-6274.72,30.96,7.8,0.358,0.0024
21,-6294.53,31.09,7.75,0.341,0.0008
22,-6248.59,31.02,7.38,0.324,0.0021
23,-6240.26,30.88,7.58,0.307,0.0016
24,-6203.71,30.75,7.43,0.292,0.0013
25,-6118.06,30.31,7.37,0.277,0.0017
26,-6174.31,30.66,7.27,0.264,0.0019
27,-6100.9,30.27,7.24,0.25,0.0015
28,-6010.96,29.78,7.23,0.238,0.0006
29,-6054.5,29.95,7.37,0.226,0.0014
30,-5961.52,29.57,7.09,0.215,0.0004
31,-5957.14,29.66,6.88,0.204,0.0007
32,-5714.56,28.28,6.94,0.194,0.0009
33,-5955.09,29.54,7.09,0.184,0.0005
34,-5816.27,28.81,7.01,0.175,0.0012
35,-5831.44,28.89,7.01,0.166,0.001
36,-5747.46,28.5,6.86,0.158,0.0008
37,-5802.85,28.78,6.92,0.15,0.0005
38,-5781.0,28.63,6.97,0.142,0.0008
39,-5890.89,29.17,7.11,0.135,0.0011
40,-5760.03,28.55,6.91,0.129,0.0012
41,-5849.65,29.05,6.9,0.122,0.0011
42,-5742.99,28.55,6.72,0.116,0.0006
43,-5676.98,28.15,6.79,0.11,0.001
44,-5762.48,28.66,6.7,0.105,0.0007
45,-5526.46,27.33,6.75,0.099,0.0002
46,-5727.87,28.4,6.84,0.094,0.0008
47,-5762.37,28.57,6.89,0.09,0.0008
48,-5588.15,27.66,6.77,0.085,0.0005
49,-5584.08,27.69,6.66,0.081,0.0009
50,-5535.11,27.45,6.6,0.077,0.0008
